Continent,Country/Region,Lat,Long,1/27/2020,2/3/2020,2/10/2020,2/17/2020,2/24/2020,3/2/2020,3/9/2020,3/16/2020,3/23/2020,3/30/2020,4/6/2020,4/13/2020,4/20/2020,4/27/2020,5/4/2020,5/11/2020,5/18/2020,5/25/2020,6/1/2020,6/8/2020,6/15/2020,6/22/2020,6/29/2020,7/6/2020,7/13/2020,7/20/2020,7/27/2020,8/3/2020,8/10/2020,8/17/2020,8/24/2020,8/31/2020,9/7/2020,9/14/2020
Europe,Estonia,58.5953,25.0136,0,0,0,0,0,1,10,205,352,715,1108,1332,1535,1647,1703,1741,1784,1824,1870,1940,1974,1981,1987,1994,2014,2021,2034,2080,2158,2192,2275,2375,2532,2698
Europe,Finland,61.92411,25.748151,0,1,1,1,1,6,30,277,700,1352,2176,3064,3868,4695,5327,5984,6380,6599,6885,7001,7108,7144,7209,7257,7295,7340,7398,7466,7601,7752,7938,8086,8327,8627
Europe,France,8.308854091,5.458262364,3,6,11,12,12,191,1219,6683,20123,45170,75343,125394,155393,165963,169583,177547,180051,183067,189348,191445,194631,198009,201522,205597,209640,214023,220352,225198,239349,256533,282414,318986,367174,425870
Europe,Georgia,42.3154,43.3569,0,0,0,0,0,3,15,33,61,103,188,272,402,497,593,638,701,731,794,812,879,908,926,953,995,1039,1137,1179,1250,1341,1421,1487,1684,2392
Europe,Germany,51.165691,10.451526,1,12,14,16,16,159,1176,7272,29056,66885,103374,130072,147065,158758,166152,172576,176551,180600,183594,186109,187682,191768,195042,198064,200180,203325,207112,212111,218508,226700,236122,244802,253626,263222
Europe,Greece,39.0742,21.8243,0,0,0,0,0,7,73,331,695,1212,1755,2145,2245,2534,2632,2726,2836,2882,2918,3049,3134,3287,3390,3562,3826,4012,4227,4737,5749,7222,8819,10317,11663,13420
Europe,Holy See,41.9029,12.4534,0,0,0,0,0,0,1,1,1,6,7,8,9,9,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Europe,Hungary,47.1625,19.5033,0,0,0,0,0,0,9,39,167,447,744,1458,1984,2583,3035,3284,3535,3756,3892,4014,4076,4102,4145,4189,4247,4339,4448,4544,4731,4946,5191,6139,8963,13153
Europe,Iceland,64.9631,-19.0208,0,0,0,0,0,6,58,180,588,1086,1562,1711,1773,1792,1799,1801,1802,1804,1806,1807,1811,1815,1822,1832,1833,1839,1854,1915,1962,2014,2073,2107,2143,2168
Europe,Ireland,53.1424,-7.6921,0,0,0,0,0,1,21,169,1125,2910,5364,10647,15652,19648,21772,23135,24200,24698,25062,25207,25321,25383,25462,25531,25638,25766,25892,26208,26768,27313,28116,28811,29774,31192
Europe,Italy,41.87194,12.56738,0,2,3,3,229,2036,9172,27980,63927,101739,132547,159516,181228,199414,211938,219814,225886,230158,233197,235278,237290,238720,240436,241819,243230,244624,246286,248229,250825,254235,260298,269214,278784,288761
Europe,Kosovo,42.602636,20.902977,0,0,0,0,0,0,0,13,33,94,145,362,561,763,851,884,985,1038,1083,1234,1486,2169,2677,3508,4931,5877,7413,9049,10419,11275,12448,12683,12683,12683
Europe,Latvia,56.8796,24.6032,0,0,0,0,0,1,6,34,180,376,542,655,739,818,896,946,1009,1049,1066,1088,1097,1111,1117,1127,1174,1192,1219,1246,1290,1323,1337,1396,1429,1477
Europe,Liechtenstein,47.14,9.55,0,0,0,0,0,0,1,4,51,62,77,79,81,82,82,82,82,82,82,82,82,82,82,84,84,86,86,89,89,94,100,107,107,111
Europe,Lithuania,55.1694,23.8813,0,0,0,0,0,1,1,17,179,491,843,1062,1326,1449,1419,1485,1547,1635,1678,1720,1773,1801,1816,1841,1874,1947,2019,2120,2265,2436,2673,2906,3100,3386
